organisasjonsnummer,navn,naeringskode1,naeringskode1_beskrivelse,naeringskode2,naeringskode2_beskrivelse,naeringskode3,naeringskode3_beskrivelse,organisasjonsform,forretningsadresse,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_kommune,forretningsadresse_kommunenummer,postadresse_postnummer,postadresse_poststed,antall_ansatte,stiftelsesdato,registreringsdato,hjemmeside,telefon,mobil,epostadresse,er_i_konsern,overordnet_enhet,kapital_belop,kapital_type,kapital_valuta,siste_innsendte_aarsregnskap,institusjonell_sektor,institusjonell_sektor_beskrivelse,registrert_i_mva,registrert_i_foretaksregisteret,konkurs,under_avvikling,under_tvangsavvikling,antall_underenheter,hentet_dato,oppstartsdato,nedleggelsesdato
816759382,M.A AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2016-02-17,,,,,,921583044,,,,,,,False,,,,,,2026-04-11,2016-02-15,
817065112,SKARSTEIN SERVICE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,6030,LANGEVÅG,,,2016-04-19,www.skarsteinservice.no,,411 83 220,post@skarsteinservice.no,,917038805,,,,,,,False,,,,,,2026-04-11,2016-04-11,
817170072,HANS CHRISTIAN ARNØY,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2016-05-19,,,,,,988982717,,,,,,,False,,,,,,2026-04-11,2016-01-01,
817208932,BIL.,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2016-05-23,,,,,,817039332,,,,,,,False,,,,,,2026-04-11,2016-04-08,
817269842,ROAR STORSLETTEN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2016-06-06,,,,,,917216487,,,,,,,False,,,,,,2026-04-11,2016-02-29,
818230702,BIG SKY AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2016-12-21,,,,,,987836571,,,,,,,False,,,,,,2026-04-11,2015-01-01,
818284462,IMRAN RASHID,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2016-12-21,,,93039495,,,987509570,,,,,,,False,,,,,,2026-04-11,2016-12-20,
818596782,TT AUTO AS,47.810,Detaljhandel med motorvogner,47.830,Detaljhandel med motorsykler og tilhørende deler og utstyr,,,BEDR,,,,,,,,,,2017-02-21,,,,,,931748335,,,,,,,False,,,,,,2026-04-11,2017-02-03,
818792182,DAF TRUCKS NORGE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,4662,KRISTIANSAND S,,,2017-03-30,,,,,,917968543,,,,,,,False,,,,,,2026-04-11,2017-02-02,
818921772,J. NESSE INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2017-04-29,,,,,,962269699,,,,,,,False,,,,,,2026-04-11,2017-04-28,
818964862,BILKJØP AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2017-05-08,,,,,,918879811,,,,,,,False,,,,,,2026-04-11,2017-03-28,
819020582,SVETLANA BORODINA,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1609,FREDRIKSTAD,,,2017-05-18,,,458 03 070,ilia@hotmail.no,,918947728,,,,,,,False,,,,,,2026-04-11,2017-04-12,
819059152,FJELL AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2017-05-30,www.fjellauto.no,,984 93 906,,,918989420,,,,,,,False,,,,,,2026-04-11,2017-05-29,
819065942,SKEIDSVOLL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2017-05-31,,,,,,918991026,,,,,,,False,,,,,,2026-04-11,2017-04-24,
819346402,HENGER1 AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2017-07-29,www.henger1.no,,976 26 060,post@henger1.no,,919228229,,,,,,,False,,,,,,2026-04-11,2017-05-31,
819521492,ROMERIKE AUTOSALG AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2017-09-06,,,,,,919329637,,,,,,,False,,,,,,2026-04-11,2017-06-25,
819567492,MANDAL BIL AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,BEDR,,,,,,,,,,2017-09-14,,,,,,919479833,,,,,,,False,,,,,,2026-04-11,2017-08-10,
819656282,MØLLER SPORTSBILER ASKER & BÆRUM AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,39,,2017-10-03,porsche-asker.no/,66 91 19 11,,post@porsche-asker.no,,919453273,,,,,,,False,,,,,,2026-04-11,2017-09-04,
819702152,CAR4SALE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,10,,2017-10-11,www.car4sale.no,,994 99 996,post@car4sale.no,,920319173,,,,,,,False,,,,,,2026-04-11,2017-09-18,
820005872,ARM BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2017-12-02,,,,,,919605197,,,,,,,False,,,,,,2026-04-11,2017-08-28,
820043502,POLARIS BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,7710,SPARBU,,,2017-12-09,,,,,,920011632,,,,,,,False,,,,,,2026-04-11,2017-10-27,
820118952,KKB EIENDOM AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2017-12-15,,,,,,999542719,,,,,,,False,,,,,,2026-04-11,2016-01-01,
820367812,N-AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,4291,KOPERVIK,7,,2018-02-01,,,,,,920227996,,,,,,,False,,,,,,2026-04-11,2018-01-02,
820391802,SIRIUS-NORGE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-02-06,,,,,,920247911,,,,,,,False,,,,,,2026-04-11,2018-01-02,
820409442,AM STEUER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-02-08,,,908 71 907,,,920277748,,,,,,,False,,,,,,2026-04-11,2017-12-14,
820526902,STRADA HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-03-01,,,918 11 304,post@stradaholding.no,,820444612,,,,,,,False,,,,,,2026-04-11,2018-01-19,
820581822,LAUVSTAD HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-03-13,,,,,,918821112,,,,,,,False,,,,,,2026-04-11,2017-11-01,
820865952,SULLAND AUTO AS AVD HARSTAD,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,9,,2018-05-16,,,,,,929451333,,,,,,,False,,,,,,2026-04-11,2018-06-01,
820919602,XPND AUTOMOTIVE AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,BEDR,,,,,,,,11,,2018-05-30,,,,,,920900747,,,,,,,False,,,,,,2026-04-11,2018-05-07,
821098602,NORWEGIAN MOBILITY GROUP AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1483,HAGAN,12,,2018-07-04,,,,,,982179289,,,,,,,False,,,,,,2026-04-11,2018-03-01,
821099692,SALG OG SERVICE G KRISTENSEN ENK,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-07-04,,,,,,991603190,,,,,,,False,,,,,,2026-04-11,2018-03-01,
821135052,CAMPER NORGE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-07-09,,,,,,921106025,,,,,,,False,,,,,,2026-04-11,2018-07-03,
821255422,TESLA NORWAY AS AVD K100,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,0976,OSLO,158,,2018-08-18,,,,,,997433173,,,,,,,False,,,,,,2026-04-11,2018-07-01,
821327512,TAKK FOR BILEN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-09-01,,,474 74 714,,,921297149,,,,,,,False,,,,,,2026-04-11,2018-08-15,
821385962,A&M AUTO AMIN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-09-12,,,410 71 209,,,821002532,,,,,,,False,,,,,,2026-04-11,2018-09-03,
821414792,GILL GRUPPEN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1483,HAGAN,20,,2018-09-20,,,,,,910360868,,,,,,,False,,,,,,2026-04-11,,
821453682,ØSTFOLD BILSALG AS AVD SLITU,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-09-25,,,,,,935267447,,,,,,,False,,,,,,2026-04-11,2018-09-01,
821746892,JARLES BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-11-19,,,,,,921715951,,,,,,,False,,,,,,2026-04-11,2018-11-05,
821823412,BRÆNDEN MOTOR,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-12-04,www.braendenmotor.no,32 12 69 00,,honefoss@roaauto.no,,919656565,,,,,,,False,,,,,,2026-04-11,2018-12-03,
821889642,SKIEN BILSALG AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2018-12-15,skienbilsalg.no/,,468 18 585,post@skienbilsalg.no,,921807635,,,,,,,False,,,,,,2026-04-11,2018-10-01,
822010342,NORSKHENGER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-01-07,,,,,,922084440,,,,,,,False,,,,,,2026-04-11,2018-09-01,
822086802,A. HESKESTAD AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-01-21,,,,,,922061238,,,,,,,False,,,,,,2026-04-11,2019-01-01,
822199992,RICHY MOTOR AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,1664,ROLVSØY,,,2019-02-11,,,,,,922162573,,,,,,,False,,,,,,2026-04-11,2019-01-07,
822248322,HEGERLAND BIL & MASKIN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-02-19,,,,,,822222072,,,,,,,False,,,,,,2026-04-11,2019-01-29,
822366112,KARL MARTIN KARLSEN DRIFT OG VEDLIKEHOLD AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-03-11,,,,,,922355371,,,,,,,False,,,,,,2026-04-11,2019-01-16,
822373402,BCA BILAUKSJON AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,23,,2019-03-12,,,,,,921680937,,,,,,,False,,,,,,2026-04-11,2019-02-07,
822404022,NES AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-03-18,,,,,,922375291,,,,,,,False,,,,,,2026-04-11,2019-03-01,
822408532,XCAMP AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-03-18,,,,,,922251584,,,,,,,False,,,,,,2026-04-11,2019-02-05,
822591302,ARONSEN BIL AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-04-06,,,,,,922567174,,,,,,,False,,,,,,2026-04-11,2019-03-03,
822619932,RS AUTO-TRADE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-04-10,,,980 88 900,robert@rsauto-trade.no,,922602344,,,,,,,False,,,,,,2026-04-11,2019-03-20,
822626912,PAPER STACK INTERNATIONAL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-04-11,,,,,,922530491,,,,,,,False,,,,,,2026-04-11,2019-03-25,
822680402,CLEVER INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-05-02,,,,,,918677577,,,,,,,False,,,,,,2026-04-11,2019-01-01,
822742092,KRISTIANIA BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-05-13,,,,,,922674957,,,,,,,False,,,,,,2026-04-11,2019-03-21,
822857612,NORDBID NORGE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-06-06,,,,,,922719160,,,,,,,False,,,,,,2026-04-11,2019-04-01,
823075162,HEDIN PERFORMANCE CARS KRISTIANSAND,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,4068,STAVANGER,11,,2019-07-11,,,,faktura@porsche-stavanger.no,,989930877,,,,,,,False,,,,,,2026-04-11,2019-01-07,
823427182,TARGA AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-09-19,,,,,,923258299,,,,,,,False,,,,,,2026-04-11,2019-07-04,
823540892,MS AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-10-03,,,410 07 368,msautobil@hotmail.com,,923357742,,,,,,,False,,,,,,2026-04-11,2019-08-28,
823665342,NBH AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-10-22,,,,unni@regnskapsserviceas.no,,923554327,,,,,,,False,,,,,,2026-04-11,2019-08-16,
823667892,KOWALESKI KRISCAR,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,BEDR,,,,,,,,,,2019-10-23,,,,,,923560653,,,,,,,False,,,,,,2026-04-11,2019-09-25,
823711662,DAL AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-10-29,,,,,,923612866,,,,,,,False,,,,,,2026-04-11,2019-09-02,
823896492,VALUE QUALITY CARS GUNDERSEN BUSINESS PARTNER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2019-11-26,,,,,,913366255,,,,,,,False,,,,,,2026-04-11,2018-01-01,
823920512,LSCY AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,0203,OSLO,,,2019-11-26,,,,,,991644407,,,,,,,False,,,,,,2026-04-11,2018-01-01,
824342202,SNEKKERSTUBAKKEN 24 AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-01-04,,,,lettertochrister@gmail.com,,924212268,,,,,,,False,,,,,,2026-04-11,2019-12-16,
824484562,VIKEN AUTO INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-01-27,,,,,,924463171,,,,,,,False,,,,,,2026-04-11,2020-01-02,
824866252,HENRIX1 AUTO KRISTOFFER HENRIKSEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-03-31,,,,,,924846089,,,,,,,False,,,,,,2026-04-11,2020-03-23,
824891192,MARTINS AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-04-02,,,,,,924862440,,,,,,,False,,,,,,2026-04-11,2020-03-18,
824963312,RICHARDS BILER NATVIG,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-04-22,,,,,,824939322,,,,,,,False,,,,,,2026-04-11,2020-04-15,
824964602,LØKKEMYRA BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-04-22,,,,,,924943254,,,,,,,False,,,,,,2026-04-11,2020-03-30,
824976392,GARDERMOEN AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-04-25,,,,,,924767626,,,,,,,False,,,,,,2026-04-11,2020-05-01,
825010262,GANGÅS AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,5,,2020-04-29,,,,,,924991232,,,,,,,False,,,,,,2026-04-11,2020-05-01,
825196412,ROYAL CARAVAN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-06-15,,,406 97 855,,,925160954,,,,,,,False,,,,,,2026-04-11,2020-06-03,
825220712,BILBRØDRENE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-06-20,,,,,,925193771,,,,,,,False,,,,,,2026-04-11,2020-05-01,
825257462,ØSTFOLD BRUKTBIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-06-25,,,,,,924567686,,,,,,,False,,,,,,2026-04-11,2020-06-01,
825323872,LTH AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,2860,HOV,,,2020-07-09,,,,,,925216984,,,,,,,False,,,,,,2026-04-11,2020-06-10,
825354182,LIAB PEDERSEN AUTOCONSULT,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-07-16,,,,,,925265241,,,,,,,False,,,,,,2026-04-11,2020-01-01,
825363882,REPPE AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-07-20,,,,,,825342702,,,,,,,False,,,,,,2026-04-11,2020-07-01,
825500502,EV AUTOIMPORT,47.810,Detaljhandel med motorvogner,47.830,Detaljhandel med motorsykler og tilhørende deler og utstyr,,,BEDR,,,,,,,,,,2020-08-18,,,,,,925409081,,,,,,,False,,,,,,2026-04-11,2020-07-21,
825518002,CALIPER AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-08-22,,,,,,825460152,,,,,,,False,,,,,,2026-04-11,2020-08-01,
825769072,ROEI INVEST AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-10-10,,,,,,925622400,,,,,,,False,,,,,,2026-04-11,2020-09-07,
825810862,STORHAMAR BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,10,,2020-10-20,,,,,,925787779,,,,,,,False,,,,,,2026-04-11,2020-09-09,
825848592,FLÅBYGD BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-10-27,,,,,,825822852,,,,,,,False,,,,,,2026-04-11,2020-09-03,
826005602,PAULSEN BILSALG,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-11-21,,,,,,925793418,,,,,,,False,,,,,,2026-04-11,2020-10-01,
826075082,RUBANI CARS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2020-12-01,,,,,,825786112,,,,,,,False,,,,,,2026-04-11,2020-10-01,
826321962,AUTOTUNING MOTORSPORT AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-01-06,,,,,,918007369,,,,,,,False,,,,,,2026-04-11,2020-09-01,
826392762,BIL FOR ALLE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-01-14,,,,,,927986078,,,,,,,False,,,,,,2026-04-11,2020-11-27,
826400382,GARDERMOEN BILSENTER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,9,,2021-01-18,,,,,,825929622,,,,,,,False,,,,,,2026-04-11,2021-01-01,
826403802,VENÅS AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-01-18,,,,,,926364901,,,,,,,False,,,,,,2026-04-11,2020-12-01,
826623322,GANESHATHASAN CONSULTING,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-02-18,,,,,,926444557,,,,,,,False,,,,,,2026-04-11,2021-01-12,
826656352,HEDIN AUTOMOTIVE BAVARIA AS AVD KRISTIANSUND,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,11,,2021-02-23,,,,post.kristiansund@bavaria.no,,960804953,,,,,,,False,,,,,,2026-04-11,2017-04-01,
826671882,ELEANOR AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-02-24,,,,,,926501712,,,,,,,False,,,,,,2026-04-11,2021-01-22,
826680172,BIRK SERVICE AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,5915,HJELMÅS,,,2021-02-25,,,,,,926514369,,,,,,,False,,,,,,2026-04-11,2020-12-01,
826780282,AUTOMOTIV AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-03-13,,,,,,926681443,,,,,,,False,,,,,,2026-04-11,2021-02-09,
826825502,DM-AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-03-18,,,417 44 448,,,926714872,,,,,,,False,,,,,,2026-04-11,2021-02-21,
826847492,VKN AUTO AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-03-23,,,968 28 437,alikhanhayati302@gmail.com,,926742590,,,,,,,False,,,,,,2026-04-11,2021-03-01,
826870702,NORGE BRUKT BIL HAMJAJO,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2021-03-25,,,,,,926780476,,,,,,,False,,,,,,2026-04-11,2021-07-01,
