organisasjonsnummer,navn,naeringskode1,naeringskode1_beskrivelse,naeringskode2,naeringskode2_beskrivelse,naeringskode3,naeringskode3_beskrivelse,organisasjonsform,forretningsadresse,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_kommune,forretningsadresse_kommunenummer,postadresse_postnummer,postadresse_poststed,antall_ansatte,stiftelsesdato,registreringsdato,hjemmeside,telefon,mobil,epostadresse,er_i_konsern,overordnet_enhet,kapital_belop,kapital_type,kapital_valuta,siste_innsendte_aarsregnskap,institusjonell_sektor,institusjonell_sektor_beskrivelse,registrert_i_mva,registrert_i_foretaksregisteret,konkurs,under_avvikling,under_tvangsavvikling,antall_underenheter,hentet_dato
813064022,OS BIL OG MOTOR SOLHOLM,47.810,Detaljhandel med motorvogner,,,,,ENK,Sperrevikvegen 141,5215,LYSEKLOSTER,BJØRNAFJORDEN,4624,,,,,2014-01-13,,,,,False,,,,,,8200,Personlig næringsdrivende,False,False,False,False,False,,2026-04-11
813258722,SPORTSCAR AS,47.810,Detaljhandel med motorvogner,,,,,AS,Kobbervikdalen 93B,3036,DRAMMEN,DRAMMEN,3301,,,,2014-02-07,2014-02-19,www.sportscar.no,,932 00 367,post@sportscar.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
813270862,BILFORHANDLER1 AS,47.810,Detaljhandel med motorvogner,,,,,AS,Økernveien 147,0580,OSLO,OSLO,0301,,,,2014-02-05,2014-02-26,,,,,False,,50000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
813302152,ARB INVEST AS,46.710,Engroshandel med motorvogner,,,,,AS,Framnesveien 110A,8516,NARVIK,NARVIK,1806,,,,2014-02-18,2014-03-01,,,,,False,,400000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
813455072,BRUKTHENGEREN.NO AS,46.710,Engroshandel med motorvogner,,,,,AS,Vestre Rosten 110,7075,TILLER,TRONDHEIM,5001,,,,2014-03-24,2014-04-07,,,,,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
813523272,CHRISTIAN AASBØ AS,47.810,Detaljhandel med motorvogner,,,,,AS,,4993,SUNDEBRU,GJERSTAD,4211,4990,SØNDELED,,2014-02-28,2014-04-24,,,913 05 247,christian.aasbo@agderlink.no,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
813732432,IQ HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Selma Ellefsens vei 3A,0581,OSLO,OSLO,0301,0581,OSLO,,2014-05-26,2014-06-10,,93 80 37 53,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
813755742,JA BILMEGLING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Industriveien 3A,1424,SKI,NORDRE FOLLO,3207,,,14,2014-05-22,2014-06-13,,,,,False,,406000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
813756102,BILHANDLEREN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Smiekroken 20,3470,SLEMMESTAD,ASKER,3203,,,,2014-05-30,2014-06-13,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
813802422,RIGETJØNN BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Rigedalen 6,4626,KRISTIANSAND S,KRISTIANSAND,4204,4676,KRISTIANSAND S,5,2014-05-15,2014-06-23,www.rige-bil.no,38 02 91 90,901 29 190,post@rige-bil.no,False,,300000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
813827212,AUTO SOLUTION AS,46.710,Engroshandel med motorvogner,47.810,Detaljhandel med motorvogner,,,AS,Industriveien 6,1461,LØRENSKOG,LØRENSKOG,3222,,,5,2014-06-17,2014-06-30,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
814087662,AUTEXO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Numedalsveien 76,3617,KONGSBERG,KONGSBERG,3303,,,,2014-08-18,2014-09-01,www.autexo.no,,905 98 107,,False,,30000.00,Aksjekapital,NOK,2022,2100,Private aksjeselskaper mv.,False,True,False,False,True,1,2026-04-11
814467732,SAK-EIENDOM AS,47.810,Detaljhandel med motorvogner,,,,,AS,Heliveien 2,1820,SPYDEBERG,INDRE ØSTFOLD,3118,,,,2014-10-16,2014-11-17,,69 83 84 06,,stian@flatout.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
814484882,MG-AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Husbyfaret 16,7505,STJØRDAL,STJØRDAL,5035,7080,HEIMDAL,7,2014-11-07,2014-11-18,,,,,False,,3000000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
814549232,ALLFIX DULAK,47.810,Detaljhandel med motorvogner,,,,,ENK,Øyratunet 3,6723,SVELGEN,BREMANGER,4648,,,,,2014-12-06,,,,,False,,,,,,8200,Personlig næringsdrivende,False,True,False,False,False,1,2026-04-11
814989062,BESTEMOR EIENDOM AS,47.810,Detaljhandel med motorvogner,,,,,AS,Hvitstenveien 280,1542,VESTBY,VESTBY,3216,,,,2015-01-09,2015-02-18,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
815045742,AUTOSTRAND AS,47.810,Detaljhandel med motorvogner,,,,,AS,Valhallavegen 10,2060,GARDERMOEN,ULLENSAKER,3209,,,,2015-01-07,2015-03-11,www.autostrand.no,90 99 91 11,,post@autostrand.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
815046552,BK PRESTSTULEN,47.810,Detaljhandel med motorvogner,,,,,ENK,Bråtesvingen 23,2052,JESSHEIM,ULLENSAKER,3209,,,,,2015-02-27,,,,,False,,,,,,8200,Personlig næringsdrivende,False,False,False,False,False,,2026-04-11
815192672,TEVO BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Moafjæra 5C,7606,LEVANGER,LEVANGER,5037,7656,VERDAL,,2015-03-03,2015-04-01,,,,tevobil@tevodekk.no,False,,308000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
815200152,AUTO DEAL ALI NASER JASIM AL-YASSIR,47.810,Detaljhandel med motorvogner,,,,,ENK,Nedre Kongerød 39,3737,SKIEN,SKIEN,4003,,,,,2015-04-08,,,,,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
815268482,HMK BILCON,46.710,Engroshandel med motorvogner,,,,,NUF,c/o HMK Tankservice AS; Industrivegen 52,2072,DAL,EIDSVOLL,3240,,,,,2015-05-09,,63 95 95 80,,,False,,,,,,,,False,False,False,False,False,1,2026-04-11
815278682,AUTOPARTNER OSLO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Arvesetveien 2-4,0668,OSLO,OSLO,0301,,,,2015-02-28,2015-04-22,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
815310772,SANDVEN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Kokstadvegen 10,5257,KOKSTAD,BERGEN,4601,,,7,2015-04-15,2015-04-28,sandven.com,97 52 22 22,,post@sandven.com,False,,5000000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
815378962,NORDISK AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Kjølstadvegen 1,2160,VORMSUND,NES,3228,,,,2015-05-05,2015-05-13,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
815548272,BIL OG MASKINOMSETNING AS,47.810,Detaljhandel med motorvogner,77.110,Utleie og leasing av biler og andre lette motorvogner,,,AS,Svenningvegen 68,7732,STEINKJER,STEINKJER,5006,,,5,2015-05-01,2015-06-17,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
815566432,BRENNES AUTO FREDRIKSTAD AS,47.810,Detaljhandel med motorvogner,,,,,AS,Stabburveien 9,1617,FREDRIKSTAD,FREDRIKSTAD,3107,,,9,2015-06-01,2015-06-22,,,,,False,,1250000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
815722752,AUTO K AS,47.810,Detaljhandel med motorvogner,,,,,AS,Revestien 9,4707,VENNESLA,VENNESLA,4223,,,,2015-05-01,2015-07-31,,,905 53 061,jimroger@agdertak.no,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
815792262,RR AUTO ANS,47.810,Detaljhandel med motorvogner,,,,,ANS,Rosenholmveien 25,1414,TROLLÅSEN,NORDRE FOLLO,3207,1411,KOLBOTN,,2015-08-10,2015-08-18,,,474 42 525,rr.auto100@gmail.com,False,,,,,,2300,Personlige foretak,False,True,False,False,False,1,2026-04-11
815852702,VIKEN BRUKTBIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Stabburveien 2A,1617,FREDRIKSTAD,FREDRIKSTAD,3107,,,,2015-08-22,2015-09-01,,,,,False,,170000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
816008662,LERKENDAL BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tryms veg 1A,7033,TRONDHEIM,TRONDHEIM,5001,,,,2015-09-21,2015-10-01,,,909 53 249,stigjohansenn@hotmail.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
816061202,KNAPPEN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Ynsvegen 231,2150,ÅRNES,NES,3228,,,,2015-09-25,2015-10-13,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
816182492,STAMSAAS AS,47.810,Detaljhandel med motorvogner,,,,,AS,Vogts vei 40,1710,SARPSBORG,SARPSBORG,3105,,,,1953-08-12,1995-03-12,stamsaasfritid.no,69 39 89 40,950 89 783,firmapost@stamsaasfritid.no,False,,2310000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
816205832,KAJANDER MOTOR AS,47.810,Detaljhandel med motorvogner,,,,,AS,Industriveien 7,3610,KONGSBERG,KONGSBERG,3303,,,16,2015-10-26,2015-11-09,www.kajander.no,,41 41 32 32,salg@kajander.no,False,,1250000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
816297982,AL-AANI AUTOSERVICE,47.810,Detaljhandel med motorvogner,,,,,ENK,Halmstadveien 7B,1580,RYGGE,MOSS,3103,,,,,2015-11-26,,,,alani.autoservice@gmail.com,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
816521882,ANDERSSTUEN TRADING,47.810,Detaljhandel med motorvogner,,,,,ENK,Vestre Hurdalsveg 234,2032,MAURA,NANNESTAD,3238,,,,,2016-01-07,,,,,False,,,,,,8200,Personlig næringsdrivende,False,True,False,False,False,1,2026-04-11
816564522,OPSAL TRANSPORT AS,47.810,Detaljhandel med motorvogner,,,,,AS,Bjørkåsveien 147,7882,NORDLI,LIERNE,5042,,,,2016-01-01,2016-01-29,,,,,False,,200000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
816598532,AUTOROLA AS,46.710,Engroshandel med motorvogner,,,,,AS,Elvesvingen 23,2003,LILLESTRØM,LILLESTRØM,3205,,,,2015-12-18,2016-01-26,www.autorola.no,,924 02 905,,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
816916402,WILLIAMS CARAVAN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Mosseveien 60D,1640,RÅDE,RÅDE,3112,1641,RÅDE,23,2016-03-14,2016-03-18,,,,,False,,3500000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
816988292,AVON DEKK SERVICE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Bakkegutua 34,2870,DOKKA,NORDRE LAND,3448,,,,2016-03-18,2016-04-07,,,482 53 838,avon.dekk@gmail.com,False,,102000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
817039332,AUTOS AS,47.810,Detaljhandel med motorvogner,,,,,AS,Skjærdalen 38,3533,TYRISTRAND,RINGERIKE,3305,,,,2016-04-08,2016-04-22,,,,,False,,600000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
817301592,DINBRUKTBIL.NO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Gamlevegen 1,4351,KLEPPE,KLEPP,1120,,,10,2016-04-01,2016-06-10,,,,,False,,140000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,2,2026-04-11
817474292,AUTO GRUPPEN AS,47.810,Detaljhandel med motorvogner,,,,,AS,Heddalsvegen 35,3674,NOTODDEN,NOTODDEN,4005,,,,2016-06-15,2016-07-14,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
817615392,VIKEN SERVICE JAN RUNE VIK,47.810,Detaljhandel med motorvogner,,,,,ENK,Stallane 46,5914,ISDALSTØ,ALVER,4631,,,,,2016-08-26,,,,,False,,,,,,8200,Personlig næringsdrivende,False,True,False,False,False,,2026-04-11
817636012,JTC AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Knivsøveien 8,1788,HALDEN,HALDEN,3101,,,,2016-08-01,2016-08-30,,,,post@jtcauto.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
817826792,REISEMOBILE FRITID AS,47.810,Detaljhandel med motorvogner,,,,,AS,Sollistrandsveien 12,3187,HORTEN,HORTEN,3901,,,,2016-09-27,2016-10-04,,,+491737599650,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
817827942,ALFREDSEN AUTO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Medtigården 13,8100,MISVÆR,BODØ,1804,,,,2016-09-14,2016-10-04,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
818145802,AUTOZENTRUM ÅLESUND AS,47.810,Detaljhandel med motorvogner,,,,,AS,Puskholevegen 44,6012,ÅLESUND,ÅLESUND,1508,6023,ÅLESUND,14,2016-11-21,2016-12-06,,,,,False,,2000000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
818455992,JP AUTOSALG AS,47.810,Detaljhandel med motorvogner,,,,,AS,Lundamovegen 25,7234,LER,MELHUS,5028,,,,2017-01-02,2017-01-27,,,,,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
818646232,FIFTY FIFTY AS,47.810,Detaljhandel med motorvogner,,,,,AS,Helsetveien 47,1353,BÆRUMS VERK,BÆRUM,3201,,,,2017-02-03,2017-03-02,,,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
818670362,BOBIL OSLO AS,47.810,Detaljhandel med motorvogner,,,,,AS,Gamle Glittrevei 11,1484,HAKADAL,NITTEDAL,3232,7492,TRONDHEIM,11,2017-02-13,2017-03-07,,,,,True,,7500000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
818715552,HASTI HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Lønningsflaten 32A,5258,BLOMSTERDALEN,BERGEN,4601,,,,2017-02-15,2017-03-16,,,,,True,,90000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
818775792,FOLLO BILSENTER AS,47.810,Detaljhandel med motorvogner,,,,,AS,Industriveien 2,1820,SPYDEBERG,INDRE ØSTFOLD,3118,,,,2017-02-03,2017-03-28,,,476 85 295,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,True,False,1,2026-04-11
818814712,ENDAL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Romeveien 8,4634,KRISTIANSAND S,KRISTIANSAND,4204,,,,2017-03-23,2017-04-05,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
818930992,HORDALAND BIL- OG UTLEIESERVICE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Grønebakksvegen 1B,5382,SKOGSVÅG,ØYGARDEN,4626,,,,2017-03-23,2017-05-03,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
819018952,UNIVERSAL EXPORTS VWP AS,46.710,Engroshandel med motorvogner,,,,,AS,Heibergs gate 25,3257,LARVIK,LARVIK,3909,,,,2017-04-24,2017-05-18,,,,,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
819178542,TOPKONSEPT AS,47.810,Detaljhandel med motorvogner,,,,,AS,Haralds vei 12,1470,LØRENSKOG,LØRENSKOG,3222,,,,2017-06-09,2017-07-11,,,,,False,,60000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,,2026-04-11
819263272,RETT BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tomtveien 28,2015,LEIRSUND,LILLESTRØM,3205,,,,2017-06-15,2017-07-06,,,,,False,,500000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
819486182,AAKERVIK AS,47.810,Detaljhandel med motorvogner,,,,,AS,c/o Lars Aakervik; Stokkanvegen 318,7670,INDERØY,INDERØY,5053,,,,2017-08-14,2017-08-31,,,986 11 596,aakervikas@hotmail.com,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
819496072,MOBILE ELVERUM AS,47.810,Detaljhandel med motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,,,AS,Svartbekkvegen 75,2406,ELVERUM,ELVERUM,3420,,,34,2017-06-30,2017-08-31,,,,,False,,1650000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
819613702,TYM NORGE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Hegrevegen 15,6783,STRYN,STRYN,4651,6781,STRYN,,2017-09-08,2017-09-26,,,,,True,,133333.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
819782032,EL-ALOUL BILHANDEL,47.810,Detaljhandel med motorvogner,,,,,ENK,Frankendalsveien 9F,3258,LARVIK,LARVIK,3909,,,,,2017-10-24,,,,,False,,,,,,8200,Personlig næringsdrivende,False,True,False,False,False,1,2026-04-11
819895252,AUTOPORTAL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Håkon Magnussons gate 9,7041,TRONDHEIM,TRONDHEIM,5001,7440,TRONDHEIM,,2017-10-01,2017-11-13,,,,post@autoportal.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
819952132,ELBILFORMIDLING AS,47.810,Detaljhandel med motorvogner,,,,,AS,c/o Petter Vårdal; Odderheisløyfen 131,4639,KRISTIANSAND S,KRISTIANSAND,4204,,,,2017-10-31,2017-11-23,,,,,False,,38000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
820135652,AUTO SONIC NORGE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Høgdaveien 2A,1543,VESTBY,VESTBY,3216,,,,2017-11-01,2017-12-19,,,00474067333,singh@auto-sonic.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
820198212,PERFORM AS,47.810,Detaljhandel med motorvogner,,,,,AS,Hensmoveien 26,3516,HØNEFOSS,RINGERIKE,3305,,,,2017-11-27,2018-01-05,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
820381882,MULTICYDE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Sveiarvegen 42,5261,INDRE ARNA,BERGEN,4601,,,,2018-01-09,2018-03-05,,,,,False,,30000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
820444612,STRADA HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Spiltauet 10,7061,TRONDHEIM,TRONDHEIM,5001,,,,2018-01-19,2018-02-15,,,918 11 304,post@stradaholding.no,False,,6030000.00,Aksjekapital,NOK,2025,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
820623282,TDT MEKANISKE AS,47.810,Detaljhandel med motorvogner,,,,,AS,Kystveien 205,8150,ØRNES,MELØY,1837,,,,2018-03-09,2018-03-19,,,,,False,,40000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
820624262,VKT SUPERCARS AS,47.810,Detaljhandel med motorvogner,,,,,AS,Torget 4,6413,MOLDE,MOLDE,1506,6401,MOLDE,,2018-03-06,2018-03-19,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
820649532,ICARS AS,47.810,Detaljhandel med motorvogner,,,,,AS,Erling Grønlands veg 2A,2050,JESSHEIM,ULLENSAKER,3209,,,,2018-03-14,2018-03-22,,,,,False,,30000.00,Aksjekapital,NOK,2023,2100,Private aksjeselskaper mv.,False,True,True,False,False,1,2026-04-11
820720512,TERRA BIL STANKIEWICZ,47.810,Detaljhandel med motorvogner,,,,,ENK,Sommerro terrasse 7,3085,HOLMESTRAND,HOLMESTRAND,3903,,,,,2018-04-12,,,,,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
820882512,ARCTIC-NB AS,46.710,Engroshandel med motorvogner,,,,,AS,Bokfinken 12,3540,NESBYEN,NESBYEN,3322,,,,2018-04-15,2018-05-23,,,,,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,1,2026-04-11
