Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
BILSENTERET HEIMDAL AS,988913138,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,10586128,10405571,180558,"1,71 %",38932,-27526,"0,11 %",11406,191964,"1,81 %",149842,"1,42 %",,1207871,1431845,"102,77 %",2639716,"5,68 %",,854592,"32,37 %","17,53 %",1785124,"67,63 %","208,89 %",2639716,391861,1393263,1764355
BILSENTERET NAMSOS AS,976097904,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",22,2023,228973882,217250527,11723354,"5,12 %",448002,340580,"0,05 %",107421,11830776,"5,17 %",9260217,"4,04 %",,9058111,40821076,"197,47 %",49879187,"18,57 %",,26706777,"53,54 %","34,67 %",23172409,"46,46 %","86,77 %",49879187,2500000,20672409,10407904
BILSENTERET R 2 AS,887450412,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",12,2023,72027931,70508608,1519323,"2,11 %",42884,302666,"-0,36 %",-259782,1259540,"1,75 %",988564,"1,37 %",,4712442,10106580,"330,36 %",14819022,"6,67 %",,5814588,"39,24 %","17,00 %",9004434,"60,76 %","154,86 %",14819022,5945208,3059226,6002328
BIL-SERVICE AS,975933601,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",313,2023,1376308241,1388408998,-12100756,"-0,88 %",642478,12072591,"-0,83 %",-11430112,-23530869,"-1,71 %",-18339616,"-1,33 %",-18339616,61056308,383872272,"120,21 %",444928581,"-4,12 %",,125584574,"28,23 %","-14,60 %",319344007,"71,77 %","254,29 %",444928581,0,319344007,4397151
BILSERVICE EGERSUND AS,993732877,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",20,2023,149998239,146511244,3486996,"2,32 %",417266,3237226,"-1,88 %",-2819961,667035,"0,44 %",355029,"0,24 %",355029,20153391,55929453,"97,02 %",76082844,"0,47 %",,9986181,"13,13 %","3,56 %",66096663,"86,87 %","661,88 %",76082844,8449501,57647162,7499912
BILSERVICE FROSTA AS,913433548,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,11558637,11933229,-374592,"-3,24 %",5842,254774,"-2,15 %",-248932,-623523,"-5,39 %",-420894,"-3,64 %",,408633,2960836,"120,39 %",3369469,"-12,49 %",,343330,"10,19 %","-122,59 %",3026139,"89,81 %","881,41 %",3369469,566673,2459466,1926440
BILSERVICE SANDVIKA AS,918353046,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,24023925,21873609,2150316,"8,95 %",104764,63177,"0,17 %",41587,2191903,"9,12 %",1705158,"7,10 %",,3158929,6637794,"153,20 %",9796723,"17,41 %",,4506027,"46,00 %","37,84 %",5290695,"54,00 %","117,41 %",9796722,957794,4332901,4003988
BILSERVICE VALDRES AS,979479700,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,12188231,11034601,1153630,"9,47 %",7879,157681,"-1,23 %",-149802,1003828,"8,24 %",782298,"6,42 %",,8987667,3481468,"134,59 %",12469135,"6,27 %",,4355998,"34,93 %","17,96 %",8113137,"65,07 %","186,25 %",12469135,5526336,2586801,1523529
BILSKADE & LAKK AS,962096662,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,12958123,10810870,2147254,"16,57 %",0,60556,"-0,47 %",-60556,2086697,"16,10 %",1758737,"13,57 %",,129423,3177473,"322,60 %",3306896,"53,18 %",,867739,"26,24 %","202,68 %",2439157,"73,76 %","281,09 %",3306896,1454212,984945,1439791
BILSKADE & LAKK HAMMERFEST AS,992564288,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,18632876,15328108,3304767,"17,74 %",12858,19389,"-0,04 %",-6531,3298237,"17,70 %",2567940,"13,78 %",2567940,302553,6224923,"182,47 %",6527476,"39,34 %",,3052061,"46,76 %","84,14 %",3475414,"53,24 %","113,87 %",6527476,63887,3411528,2661839
BILSKADE VESTERÅLEN AS,926681761,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",18,2023,27380623,28960248,-1579625,"-5,77 %",10157,559905,"-2,01 %",-549748,-2129374,"-7,78 %",-2199652,"-8,03 %",-2199652,5676658,4666994,"106,21 %",10343651,"-21,27 %",,-4699998,"-45,44 %","46,80 %",15043649,"145,44 %","-320,08 %",10343651,10649409,4394241,1521146
BILSKADEREPARATØREN AS,927033259,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,6328003,6027539,300464,"4,75 %",348,119527,"-1,88 %",-119179,181286,"2,86 %",141402,"2,23 %",,304763,1955916,"103,83 %",2260679,"6,25 %",,366051,"16,19 %","38,63 %",1894628,"83,81 %","517,59 %",2260679,10911,1883717,904000
BILSKADESENTERET AS,940940842,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,15818102,14507843,1310258,"8,28 %",12852,3737,"0,06 %",9115,1319373,"8,34 %",1029411,"6,51 %",,232935,4549689,"140,44 %",4782625,"21,52 %",,1543012,"32,26 %","66,71 %",3239612,"67,74 %","209,95 %",4782625,0,3239612,2259729
BILSKADESENTERET AS,946065706,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,20106307,19535693,570615,"2,84 %",4688,52080,"-0,24 %",-47392,523223,"2,60 %",418284,"2,08 %",418284,4262807,12447789,"320,74 %",16710596,"2,50 %",,11313456,"67,70 %","3,70 %",5397139,"32,30 %","47,71 %",16710596,1516201,3880938,4021261
BILSKADESENTERET AS,981343654,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",17,2023,37582147,32540464,5041683,"13,42 %",46865,12677,"0,09 %",34188,5075871,"13,51 %",3956183,"10,53 %",3956183,1527649,11370732,"107,87 %",12898381,"30,67 %",,2356918,"18,27 %","167,85 %",10541463,"81,73 %","447,26 %",12898381,0,10541463,2210715
BILSKADESENTERET GJØVIK AS,987838043,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,13586346,12927478,658868,"4,85 %",7205,11229,"-0,03 %",-4024,654844,"4,82 %",510778,"3,76 %",510778,268796,4533775,"210,04 %",4802571,"10,64 %",,2644083,"55,06 %","19,32 %",2158488,"44,94 %","81,63 %",4802571,0,2158488,1698293
BILSKADESENTERET NARVIK AS,985422613,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,25571656,21526630,4045026,"15,82 %",263880,3312,"1,02 %",260567,4305593,"16,84 %",3358597,"13,13 %",3358597,5096483,9787397,"228,52 %",14883880,"22,57 %",,8882953,"59,68 %","37,81 %",6000927,"40,32 %","67,56 %",14883880,1718062,4282865,3196457
BILSKADESENTERET NORDFJORD AS,919829249,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,15591215,13230805,2360410,"15,14 %",17901,1733,"0,10 %",16168,2376578,"15,24 %",1837814,"11,79 %",1837814,321956,6832157,"153,82 %",7154112,"25,69 %",,2712462,"37,91 %","67,75 %",4441651,"62,09 %","163,75 %",7154112,0,4441651,2598536
BILSKADESENTERET NORDMØRE AS,812532502,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",17,2023,31641648,32438181,-796533,"-2,52 %",4790,113342,"-0,34 %",-108552,-905085,"-2,86 %",-705966,"-2,23 %",-705966,2742392,8279079,"239,33 %",11021471,"-6,41 %",,5043350,"45,76 %","-14,00 %",5978121,"54,24 %","118,53 %",11021471,2518796,3459325,1861273
BILSKADESENTERET TROMSØ AS,996514528,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",20,2023,37103444,33374557,3728887,"10,05 %",107194,425149,"-0,86 %",-317955,3410931,"9,19 %",2665095,"7,18 %",2665095,6276271,9664386,"186,54 %",15940657,"16,72 %",,6519682,"40,90 %","40,88 %",9420975,"59,10 %","144,50 %",15940657,4240034,5180940,1855172
BILSKADESENTERET TYNSET AS,989879464,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,13597944,12933163,664781,"4,89 %",51261,40764,"0,08 %",10497,675278,"4,97 %",537241,"3,95 %",,1840647,5338444,"153,54 %",7179090,"7,48 %",,2909569,"40,53 %","18,46 %",4269521,"59,47 %","146,74 %",7179090,792685,3476836,1510883
BILSKADESERVICE AS,956606586,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,6620040,5698159,921880,"13,93 %",74,5816,"-0,09 %",-5742,916139,"13,84 %",714364,"10,79 %",,353041,1363315,"179,22 %",1716356,"41,62 %",,954762,"55,63 %","74,82 %",761594,"44,37 %","79,77 %",1716356,881,760713,1324008
BILSKADESPESIALISTEN AS,987310529,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,6646394,6185875,460518,"6,93 %",45,34901,"-0,52 %",-34856,425662,"6,40 %",425662,"6,40 %",,206200,5489676,"163,04 %",5695876,"7,47 %",,1775037,"31,16 %","23,98 %",3920839,"68,84 %","220,89 %",5695876,553702,3367137,949485
BIL-SPESIALISTEN AS,987807245,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,17191291,15917608,1273683,"7,41 %",30583,72952,"-0,25 %",-42368,1231315,"7,16 %",958582,"5,58 %",958582,1540643,3899676,"126,18 %",5440319,"17,62 %",,1770546,"32,54 %","54,14 %",3669773,"67,46 %","207,27 %",5440319,579134,3090639,1322407
BILTECH AS,987817879,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",14,2023,33246768,29860803,3385965,"10,18 %",45968,278038,"-0,70 %",-232069,3153895,"9,49 %",2460949,"7,40 %",2460949,805864,14300011,"140,92 %",15105875,"16,29 %",,4935541,"32,67 %","49,86 %",10170334,"67,33 %","206,06 %",15105875,22374,10147960,2374769
BILTEKNIKK AS,981694414,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,13521279,13549438,-28160,"-0,21 %",67868,3924,"0,47 %",63943,35784,"0,26 %",2031,"0,02 %",,637699,4489812,"128,37 %",5127511,"0,04 %",,1629859,"31,79 %","0,12 %",3497652,"68,21 %","214,60 %",5127511,0,3497652,1690160
BILTEKNIKK ASKIM AS,926038397,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,3955694,4139289,-183595,"-4,64 %",307,4660,"-0,11 %",-4352,-187948,"-4,75 %",-187948,"-4,75 %",,73000,349720,"73,20 %",422720,"-44,46 %",,-55016,"-13,01 %","341,62 %",477736,"113,01 %","-868,36 %",422720,0,477736,565099
BILTEKNIKK GRAN AS,997842871,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,9123003,8222555,900448,"9,87 %",6544,151490,"-1,59 %",-144946,755502,"8,28 %",587563,"6,44 %",,2804089,2805280,"228,52 %",5609369,"10,47 %",,2408439,"42,94 %","24,40 %",3200930,"57,06 %","132,90 %",5609369,1973360,1227570,1824601
BILTEKNIKK MYSEN AS,917548021,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,4722038,5122614,-400576,"-8,48 %",924,6139,"-0,11 %",-5215,-405791,"-8,59 %",-405792,"-8,59 %",,104400,558705,"104,18 %",663105,"-61,20 %",,126801,"19,12 %","-320,02 %",536304,"80,88 %","422,95 %",663105,0,536304,787006
BILTREND HARSTAD AS,888064842,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",16,2023,112330206,106554141,5776065,"5,14 %",169044,279531,"-0,10 %",-110488,5665577,"5,04 %",4400156,"3,92 %",4400156,10038727,32815463,"392,25 %",42854190,"10,27 %",,31492625,"73,49 %","13,97 %",11361565,"26,51 %","36,08 %",42854190,2995700,8365865,7020638
BILTREND LANGNES AS,977249007,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",8,2023,12062786,8953055,3109731,"25,78 %",51293,176121,"-1,03 %",-124828,2984903,"24,74 %",2327178,"19,29 %",2327178,6662233,1496514,"75,65 %",8158747,"28,52 %",,4250002,"52,09 %","54,76 %",3908745,"47,91 %","91,97 %",8158747,1930519,1978226,1507848
BILTREND TROMSØ AS,947782959,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",41,2023,213622626,209013599,4609026,"2,16 %",40385,4746940,"-2,20 %",-4706554,-97528,"-0,05 %",-69512,"-0,03 %",-69512,42996398,92141540,"335,86 %",135137938,"-0,05 %",,36953034,"27,34 %","-0,19 %",98184904,"72,66 %","265,70 %",135137938,70750106,27434798,5210308
BILTREND VESTERÅLEN AS,985527474,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",19,2023,98174170,95506315,2667855,"2,72 %",16521,1137063,"-1,14 %",-1120543,1547312,"1,58 %",1205680,"1,23 %",1205680,3623843,36283040,"456,30 %",39906883,"3,02 %",,15342217,"38,45 %","7,86 %",24564666,"61,55 %","160,11 %",39906883,16613163,7951502,5167062
BILTUNET VERKSTED AS,988640484,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,11264900,10136321,1128579,"10,02 %",24344,395,"0,21 %",23949,1152528,"10,23 %",905011,"8,03 %",,641245,3017079,"217,39 %",3658324,"24,74 %",,2270432,"62,06 %","39,86 %",1387892,"37,94 %","61,13 %",3658324,0,1387892,1609271
BILTUNET VOSS AS,985281726,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",34,2023,137688139,144434951,-6746812,"-4,90 %",89723,1062285,"-0,71 %",-972563,-7719375,"-5,61 %",-7560521,"-5,49 %",-7560521,5836796,42199204,"126,74 %",48036001,"-15,74 %",,3554420,"7,40 %","-212,71 %",44481581,"92,60 %","1251,44 %",48036001,11184507,33297073,4049651
BILUTSTYR ARENDAL AS,961171067,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",12,2023,34171846,34391764,-219918,"-0,64 %",25246,661132,"-1,86 %",-635886,-855804,"-2,50 %",-669545,"-1,96 %",,1169099,13947404,"304,44 %",15116503,"-4,43 %",,733823,"4,85 %","-91,24 %",14382680,"95,15 %","1959,97 %",15116503,9801382,4581298,2847654
BILUTSTYR HØNEFOSS AS,921349270,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",9,2023,22535683,22592602,-56919,"-0,25 %",86371,209702,"-0,55 %",-123331,-180250,"-0,80 %",194819,"0,86 %",,7364351,11968916,"120,75 %",19333267,"1,01 %",,7919192,"40,96 %","2,46 %",11414075,"59,04 %","144,13 %",19333267,1501681,9912394,2503965
BILUTSTYR NOR AS,918326707,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",14,2023,45515611,44426054,1089557,"2,39 %",230467,190764,"0,09 %",39703,1129260,"2,48 %",871504,"1,91 %",,1157794,20252670,"221,65 %",21410463,"4,07 %",,9873219,"46,11 %","8,83 %",11537245,"53,89 %","116,85 %",21410463,2400000,9137245,3251115
BILVAREHUSENE NOR AS,880553852,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",44,2023,66771703,71612394,-4840691,"-7,25 %",29277,1207751,"-1,76 %",-1178474,-6019165,"-9,01 %",-4700802,"-7,04 %",,1306685,30850558,"318,24 %",32157243,"-14,62 %",,3924415,"12,20 %","-119,78 %",28232828,"87,80 %","719,41 %",32157243,18538677,9694151,1517539
BILVAREHUSENE SØR AS,887813752,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",30,2023,53247022,54339541,-1092519,"-2,05 %",20964,281265,"-0,49 %",-260301,-1352820,"-2,54 %",-1058923,"-1,99 %",,1887137,20467792,"222,96 %",22354929,"-4,74 %",,9427581,"42,17 %","-11,23 %",12927346,"57,83 %","137,12 %",22354927,3747462,9179884,1774901
BILVERKET AS,921644329,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,10850644,9690335,1160309,"10,69 %",10847,217575,"-1,91 %",-206728,953581,"8,79 %",776899,"7,16 %",776899,2547319,1978293,"51,69 %",4525612,"17,17 %",,672983,"14,87 %","115,44 %",3852629,"85,13 %","572,47 %",4525612,25218,3827411,1550092
BILVERKSTEDET AS,987047062,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,11977260,10525909,1451351,"12,12 %",20546,25275,"-0,04 %",-4729,1446622,"12,08 %",1123238,"9,38 %",,1496324,2326658,"98,14 %",3822982,"29,38 %",,1342571,"35,12 %","83,66 %",2480411,"64,88 %","184,75 %",3822982,109757,2370654,1197726
BILXTRA AS,983032133,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",38,2023,41169059,44429011,-3259952,"-7,92 %",18798,598736,"-1,41 %",-579938,-3839890,"-9,33 %",-2995323,"-7,28 %",,1359182,21407583,"197,38 %",22766765,"-13,16 %",,2904518,"12,76 %","-103,13 %",19862247,"87,24 %","683,84 %",22766765,9016199,10846048,1083396
BILXTRA AUTOGÅRDEN KONGSBERG AS,914746345,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,9500669,8514205,986464,"10,38 %",10426,15480,"-0,05 %",-5054,981410,"10,33 %",765823,"8,06 %",,469043,4491407,"255,50 %",4960450,"15,44 %",,3202537,"64,56 %","23,91 %",1757912,"35,44 %","54,89 %",4960449,0,1757912,1583445
BILXTRA LAKSELV AS,990818398,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",9,2023,8833466,8497755,335711,"3,80 %",19683,40886,"-0,24 %",-21203,314508,"3,56 %",241786,"2,74 %",,159072,5289859,"370,01 %",5448931,"4,44 %",,3689887,"67,72 %","6,55 %",1759043,"32,28 %","47,67 %",5448931,329378,1429665,981496
BILXTRA SKØYEN AS,916795521,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",31,2023,39417876,37491717,1926159,"4,89 %",14140,320890,"-0,78 %",-306750,1619409,"4,11 %",1263139,"3,20 %",,4299963,5449305,"73,21 %",9749268,"12,96 %",,207146,"2,12 %","609,78 %",9542122,"97,88 %","4606,47 %",9749268,2098726,7443396,1271544
BIR HUSHOLDNING AS,984505469,38.110,Innsamling av ikke-farlig avfall,194,2023,231744880,228995660,2749220,"1,19 %",108950,4787153,"-2,02 %",-4678203,-1928983,"-0,83 %",-1506003,"-0,65 %",-1506003,100992072,120267249,"68,04 %",221259321,"-0,68 %",,7470732,"3,38 %","-20,16 %",213788587,"96,62 %","2861,68 %",221259320,37028107,176760480,1194561
BIRGER AASE BILREKVISITA AS,946031399,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,11648307,10558190,1090117,"9,36 %",3412,6036,"-0,02 %",-2624,1087493,"9,34 %",845356,"7,26 %",845356,308554,3396310,"182,51 %",3704865,"22,82 %",,1843942,"49,77 %","45,85 %",1860923,"50,23 %","100,92 %",3704865,0,1860923,1941385
BIRGER N HAUG AS,952335863,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",381,2023,2837575890,2900624472,-63048582,"-2,22 %",883278,16889927,"-0,56 %",-16006649,-79055231,"-2,79 %",-61976968,"-2,18 %",-61976968,51442099,378645291,"123,53 %",430087390,"-14,41 %",,95446305,"22,19 %","-64,93 %",334641085,"77,81 %","350,61 %",430087390,28119121,306521964,7447706
BIRKELAND BIL AS,918831584,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,12171818,10436942,1734876,"14,25 %",3603,49140,"-0,37 %",-45537,1689339,"13,88 %",1302430,"10,70 %",1302430,1472000,1610300,"92,84 %",3082300,"42,26 %",,1347726,"43,72 %","96,64 %",1734574,"56,28 %","128,70 %",3082300,0,1734574,1521477
BJERLAND LAKK OG KAROSSERI AS,977193788,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,11582820,9064747,2518073,"21,74 %",5627,37209,"-0,27 %",-31582,2486491,"21,47 %",1948677,"16,82 %",1948677,764300,2760695,"136,06 %",3524995,"55,28 %",,1495900,"42,44 %","130,27 %",2029094,"57,56 %","135,64 %",3524995,0,2029094,1052984
BJUGN DEKKSERVICE AS,924332263,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,5432467,5667817,-235351,"-4,33 %",343,187823,"-3,45 %",-187480,-422831,"-7,78 %",-422831,"-7,78 %",,285700,1173768,"78,27 %",1459468,"-28,97 %",,-1313513,"-90,00 %","32,19 %",2772981,"190,00 %","-211,11 %",1459468,1273280,1499702,1086493
BJØRDAL BIL AS,935614686,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",18,2023,50977213,51798878,-821664,"-1,61 %",5150,602802,"-1,17 %",-597653,-1419317,"-2,78 %",-1265892,"-2,48 %",-1265892,3302243,21489703,"135,01 %",24791946,"-5,11 %",,8270221,"33,36 %","-15,31 %",16521725,"66,64 %","199,77 %",24791946,605084,15916641,2832067
BJØRGE KAROSSERI AS,950307447,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",14,2023,16874166,17322782,-448616,"-2,66 %",12388,-23534,"-0,07 %",-11146,-459762,"-2,72 %",-440480,"-2,61 %",,660902,3833433,"171,80 %",4494335,"-9,80 %",,2263027,"50,35 %","-19,46 %",2231308,"49,65 %","98,60 %",4494335,0,2231308,1205298
BJØRKKJÆRS AUTO AS,991447075,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,22686059,21457161,1228898,"5,42 %",15181,11784,"0,01 %",3397,1232295,"5,43 %",961363,"4,24 %",,429727,10936537,"265,50 %",11366264,"8,46 %",,7269932,"63,96 %","13,22 %",4096332,"36,04 %","56,35 %",11366264,-22836,4119168,3781010
BJØRN MYHRENS VERKSTED AS,951050504,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,8013791,7821224,192567,"2,40 %",28797,218,"0,36 %",28579,221146,"2,76 %",172494,"2,15 %",172494,769385,1526292,"141,59 %",2295677,"7,51 %",,1099883,"47,91 %","15,68 %",1195794,"52,09 %","108,72 %",2295677,117795,1077999,1335632
BJØRNARS AUTO AS,922038090,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,12460370,11268855,1191516,"9,56 %",47786,396589,"-2,80 %",-348804,842712,"6,76 %",657316,"5,28 %",,345883,4294366,"127,24 %",4640249,"14,17 %",,1226320,"26,43 %","53,60 %",3413928,"73,57 %","278,39 %",4640249,38815,3375113,1384486
BOBIL HAUGESUND AS,925597643,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",13,2023,36699331,36218460,480872,"1,31 %",102344,568534,"-1,27 %",-466191,14681,"0,04 %",10459,"0,03 %",,99835,23611856,"443,79 %",23711691,"0,04 %",,3530366,"14,89 %","0,30 %",20181325,"85,11 %","571,65 %",23711691,14860879,5320446,2823025
BOBIL NORGE SERVICE AS,921360479,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,,11081,-11081,,,,,,-11081,,-11081,,-11081,0,17429,"464,77 %",17429,"-63,58 %",,13679,"78,48 %","-81,01 %",3750,"21,52 %","27,41 %",17429,0,3750,
BOBIL OSLO AS,818670362,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",10,2023,46349829,46256531,93298,"0,20 %",118159,685353,"-1,22 %",-567194,-473895,"-1,02 %",-369638,"-0,80 %",,1064198,28160696,"214,53 %",29224893,"-1,26 %",,525626,"1,80 %","-70,32 %",28699267,"98,20 %","5460,02 %",29224893,15572609,13126658,4634983
BOBIL SPILLUM AS,920736971,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",12,2023,115639730,114479541,1160188,"1,00 %",164444,1683536,"-1,31 %",-1519091,-358903,"-0,31 %",-287190,"-0,25 %",,4859936,51391567,"266,80 %",56251504,"-0,51 %",,3524345,"6,27 %","-8,15 %",52727159,"93,73 %","1496,08 %",56251504,33464947,19262212,9636644
BOBIL TRONDHEIM AS,917921024,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",15,2023,74715836,72913067,1802769,"2,41 %",43851,1694763,"-2,21 %",-1650913,151857,"0,20 %",118556,"0,16 %",,535221,44143079,"372,30 %",44678300,"0,27 %",,4229662,"9,47 %","2,80 %",40448638,"90,53 %","956,31 %",44678300,28591790,11856848,4981056
BOBIL VEST AS,990897980,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",9,2023,17727732,18393218,-665486,"-3,75 %",15232,80730,"-0,37 %",-65498,-730984,"-4,12 %",-570331,"-3,22 %",-570331,830416,13414633,"101,17 %",14245049,"-4,00 %",,985729,"6,92 %","-57,86 %",13259321,"93,08 %","1345,13 %",14245049,0,13259321,1969748
BOBILAGENTEN AS,993479098,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",7,2023,45033714,41044860,3988855,"8,86 %",-48862,24185,"-0,16 %",-73047,3915808,"8,70 %",3051415,"6,78 %",3051415,15270,19287766,"1467,78 %",19303036,"15,81 %",,17988958,"93,19 %","16,96 %",1314078,"6,81 %","7,30 %",19303036,0,1314078,6433388
BODAHL-JOHANSEN AS,965308032,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",69,2023,99237532,91869317,7368215,"7,42 %",147184,437035,"-0,29 %",-289851,7078364,"7,13 %",5519934,"5,56 %",5519934,6369426,53161762,"229,75 %",59531188,"9,27 %",,31127390,"52,29 %","17,73 %",28403797,"47,71 %","91,25 %",59531188,5265090,23138707,1438225
BODØ BILPLEIE AS,987183969,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,3279128,3466048,-186920,"-5,70 %",0,63793,"-1,95 %",-63793,-250712,"-7,65 %",-195556,"-5,96 %",,303159,723683,"92,53 %",1026841,"-19,04 %",,161346,"15,71 %","-121,20 %",865495,"84,29 %","536,42 %",1026841,83360,782135,546521
BODØ BILSKADESENTER AS,984874073,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",15,2023,27897767,24997670,2900098,"10,40 %",1490,15505,"-0,05 %",-14015,2886082,"10,35 %",2251480,"8,07 %",2251480,448123,8245264,"139,06 %",8693387,"25,90 %",,2764139,"31,80 %","81,45 %",5929248,"68,20 %","214,51 %",8693387,0,5929248,1859851
BOLLI MOTOR AS,983396127,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,5796750,5828311,-31561,"-0,54 %",28275,258032,"-3,96 %",-229757,-261318,"-4,51 %",-261318,"-4,51 %",,761100,2641843,"111,13 %",3402943,"-7,68 %",,-733438,"-21,55 %","35,63 %",4136381,"121,55 %","-563,97 %",3402944,1759160,2377221,526977
BOREAL BUSS AS,979437218,49.311,Rutebiltransport i by- og forstadsområde,1424,2023,1268145563,1280495455,-12349893,"-0,97 %",15216951,39634427,"-1,93 %",-24417475,-36767368,"-2,90 %",-28700424,"-2,26 %",,367015186,176535076,"76,36 %",543550262,"-5,28 %",,100813893,"18,55 %","-28,47 %",442736369,"81,45 %","439,16 %",543550262,211546522,231189848,890552
